popden,buildings,hospitals ,entertainment,monuments,schools,rent,lat,long,railway,traffic
205238,2,1,1,0,0,18000,30.6428,76.8169,0,1.75
598619,0,0,0,0,1,15000,30.5964,76.8433,0,1
11988,1,1,0,0,0,20000,30.7333,76.7729,0,1.5
11157,0,0,0,0,0,34000,30.7216,76.7612,0,1.25
10625,0,0,0,0,2,28000,30.757,76.7731,0,1.25
65923,0,0,0,0,0,22000,30.7198,76.8289,0,1
10976,0,0,0,0,0,38000,30.7268,76.7642,0,1.5
15042,0,0,0,0,0,30000,30.7363,76.7642,0,2
70375,2,2,0,0,2,35000,30.7233,76.7639,0,2
18094,0,0,0,0,0,30000,30.726,76.741,0,1.25
92124,1,1,0,0,0,40000,30.7325,76.7612,0,1.25
18377,1,1,0,0,0,29000,30.7352,76.7729,0,1
15320,0,0,0,0,0,33000,30.728,76.75,0,1.25
1739,1,1,0,0,0,30000,30.7523,76.7933,0,1
17865,2,1,1,0,1,35000,30.7286,76.7612,0,1.75
40103,3,0,3,0,0,25000,30.7055,76.801,1,2
11011,0,0,0,0,0,24000,30.7135,76.7729,0,1.25
10934,1,0,1,0,0,40000,30.7325,76.7872,0,1
12051,2,0,1,1,1,30000,30.741,76.7872,0,1.3
7931,0,0,0,0,0,28000,30.6942,76.7676,0,1
16532,1,0,0,1,0,15000,30.7055,76.7729,0,1.25
48691,0,0,0,0,0,18000,30.6538,76.841,0,1
9101,1,0,0,1,0,55000,30.7545,76.7731,0,1.5
9029,0,0,0,0,0,30000,30.7032,76.7729,0,1.25
13930,2,1,1,0,0,33000,30.7445,76.7872,0,1.75
9100,1,1,0,0,0,22000,30.7135,76.75,0,1
5442,0,0,0,0,0,28000,30.6942,76.75,0,1.5
28856,0,0,0,0,0,25000,30.741,76.7729,1,1
10404,1,0,1,0,0,18000,30.718,76.75,0,1.25
10612,0,0,0,0,0,26000,30.7135,76.7612,1,1
5000,1,0,1,0,0,26000,30.69,76.75,0,1.25
3784,1,0,1,0,0,20000,30.8221,76.7359,0,1
991,0,0,0,0,0,18000,30.6735,76.7884,1,1
612715,6,3,3,0,1,32000,30.7046,76.7179,0,2
81131,3,2,1,0,0,19000,30.7055,76.7179,0,1